p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-1779.9143,-1106.8315,1370.6821,-1130.9445,707.136,1528.6188,1168.4706,-464.34067
-1774.9084,-1106.8275,1365.6859,-1130.9377,702.13666,1528.6263,1163.4723,-464.3366
-1769.9026,-1106.8235,1360.6897,-1130.931,697.1373,1528.6339,1158.474,-464.33255
-1764.8967,-1106.8195,1355.6935,-1130.9243,692.138,1528.6415,1153.4757,-464.3285
-1759.8909,-1106.8154,1350.6973,-1130.9176,687.1387,1528.649,1148.4774,-464.32443
-1754.885,-1106.8114,1345.701,-1130.9109,682.13934,1528.6566,1143.4791,-464.32037
-1749.8792,-1106.8074,1340.7048,-1130.9042,677.14,1528.6642,1138.4808,-464.3163
-1744.8733,-1106.8033,1335.7086,-1130.8975,672.1407,1528.6718,1133.4825,-464.31226
-1739.8674,-1106.7993,1330.7124,-1130.8907,667.14136,1528.6793,1128.4843,-464.3082
-1734.8616,-1106.7953,1325.7162,-1130.884,662.142,1528.6869,1123.486,-464.30414
-1729.8557,-1106.7913,1320.72,-1130.8773,657.1427,1528.6945,1118.4877,-464.30008
-1724.8499,-1106.7872,1315.7238,-1130.8706,652.1434,1528.702,1113.4894,-464.29602
-1719.844,-1106.7832,1310.7275,-1130.8639,647.14404,1528.7096,1108.4911,-464.29196
-1714.8381,-1106.7792,1305.7313,-1130.8572,642.1447,1528.7172,1103.4928,-464.2879
-1709.8323,-1106.7751,1300.7351,-1130.8505,637.1454,1528.7247,1098.4945,-464.28384
-1704.8264,-1106.7711,1295.7389,-1130.8438,632.14606,1528.7323,1093.4962,-464.2798
-1699.8206,-1106.7671,1290.7427,-1130.837,627.1467,1528.7399,1088.4979,-464.27573
-1694.8147,-1106.7631,1285.7465,-1130.8303,622.1474,1528.7474,1083.4996,-464.27167
-1689.8088,-1106.759,1280.7502,-1130.8236,617.1481,1528.755,1078.5013,-464.2676
-1684.803,-1106.755,1275.754,-1130.8169,612.14874,1528.7626,1073.503,-464.26355
-1679.7971,-1106.751,1270.7578,-1130.8102,607.1494,1528.7701,1068.5048,-464.2595
-1674.7913,-1106.747,1265.7616,-1130.8035,602.1501,1528.7777,1063.5065,-464.25543
-1669.7854,-1106.7429,1260.7654,-1130.7968,597.15076,1528.7853,1058.5082,-464.25137
-1664.7795,-1106.7389,1255.7692,-1130.79,592.1514,1528.7928,1053.5099,-464.2473
-1659.7737,-1106.7349,1250.773,-1130.7833,587.1521,1528.8004,1048.5116,-464.24326
-1654.7678,-1106.7308,1245.7767,-1130.7766,582.1528,1528.808,1043.5133,-464.2392
