,Time,Energy
0,0.0,1.2500044332952598e-09
1,0.01,1.2500043222729573e-09
2,0.02,1.2500044332952598e-09
3,0.03,1.2500044332952598e-09
4,0.04,1.2500044332952598e-09
5,0.05,1.2500044332952598e-09
6,0.06,1.2500044332952598e-09
7,0.07,1.2500044332952598e-09
8,0.08,1.2500044332952598e-09
9,0.09,1.2500044332952598e-09
10,0.1,1.2500045443175622e-09
11,0.11,1.2500044332952598e-09
12,0.12,1.2500045443175622e-09
13,0.13,1.2500043222729573e-09
14,0.14,1.2500044332952598e-09
15,0.15,1.2500044332952598e-09
16,0.16,1.2500045443175622e-09
17,0.17,1.2500044332952598e-09
18,0.18,1.2500044332952598e-09
19,0.19,1.2500044332952598e-09
20,0.2,1.2500044332952598e-09
21,0.21,1.2500045443175622e-09
22,0.22,1.2500044332952598e-09
23,0.23,1.2500044332952598e-09
24,0.24,1.2500044332952598e-09
25,0.25,1.2500044332952598e-09
26,0.26,1.2500045443175622e-09
27,0.27,1.2500043222729573e-09
28,0.28,1.2500044332952598e-09
29,0.29,1.2500044332952598e-09
30,0.3,1.2500043222729573e-09
31,0.31,1.2500044332952598e-09
32,0.32,1.2500044332952598e-09
33,0.33,1.2500044332952598e-09
34,0.34,1.2500043222729573e-09
35,0.35,1.2500044332952598e-09
36,0.36,1.2500044332952598e-09
37,0.37,1.2500044332952598e-09
38,0.38,1.2500044332952598e-09
39,0.39,1.2500044332952598e-09
40,0.4,1.2500045443175622e-09
41,0.41,1.2500043222729573e-09
42,0.42,1.2500044332952598e-09
43,0.43,1.2500045443175622e-09
44,0.44,1.2500044332952598e-09
45,0.45,1.2500044332952598e-09
46,0.46,1.2500044332952598e-09
47,0.47,1.2500044332952598e-09
48,0.48,1.2500045443175622e-09
49,0.49,1.2500044332952598e-09
50,0.5,1.2500045443175622e-09
51,0.51,1.2500045443175622e-09
52,0.52,1.2500044332952598e-09
53,0.53,1.2500044332952598e-09
54,0.54,1.2500044332952598e-09
55,0.55,1.2500044332952598e-09
56,0.56,1.2500045443175622e-09
57,0.57,1.2500044332952598e-09
58,0.58,1.2500045443175622e-09
59,0.59,1.2500044332952598e-09
60,0.6,1.2500044332952598e-09
61,0.61,1.2500045443175622e-09
62,0.62,1.2500044332952598e-09
63,0.63,1.2500045443175622e-09
64,0.64,1.2500044332952598e-09
65,0.65,1.2500044332952598e-09
66,0.66,1.2500045443175622e-09
67,0.67,1.2500044332952598e-09
68,0.68,1.2500045443175622e-09
69,0.69,1.2500044332952598e-09
70,0.7,1.2500044332952598e-09
71,0.71,1.2500043222729573e-09
72,0.72,1.2500045443175622e-09
73,0.73,1.2500044332952598e-09
74,0.74,1.2500044332952598e-09
75,0.75,1.2500045443175622e-09
76,0.76,1.2500044332952598e-09
77,0.77,1.2500045443175622e-09
78,0.78,1.2500044332952598e-09
79,0.79,1.2500044332952598e-09
80,0.8,1.2500045443175622e-09
81,0.81,1.2500044332952598e-09
82,0.82,1.2500044332952598e-09
83,0.83,1.2500044332952598e-09
84,0.84,1.2500044332952598e-09
85,0.85,1.2500044332952598e-09
86,0.86,1.2500045443175622e-09
87,0.87,1.2500044332952598e-09
88,0.88,1.2500043222729573e-09
89,0.89,1.2500044332952598e-09
90,0.9,1.2500045443175622e-09
91,0.91,1.2500043222729573e-09
92,0.92,1.2500044332952598e-09
93,0.93,1.2500044332952598e-09
94,0.94,1.2500044332952598e-09
95,0.95,1.2500045443175622e-09
96,0.96,1.2500045443175622e-09
97,0.97,1.2500044332952598e-09
98,0.98,1.2500044332952598e-09
99,0.99,1.2500044332952598e-09
100,1.0,1.2500045443175622e-09
101,1.01,1.2500045443175622e-09
102,1.02,1.2500044332952598e-09
103,1.03,1.2500044332952598e-09
104,1.04,1.2500045443175622e-09
105,1.05,1.2500043222729573e-09
106,1.06,1.2500044332952598e-09
107,1.07,1.2500044332952598e-09
108,1.08,1.2500045443175622e-09
109,1.09,1.2500044332952598e-09
110,1.1,1.2500045443175622e-09
111,1.11,1.2500045443175622e-09
112,1.12,1.2500044332952598e-09
113,1.13,1.2500044332952598e-09
114,1.14,1.2500043222729573e-09
115,1.15,1.2500045443175622e-09
116,1.16,1.2500043222729573e-09
117,1.17,1.2500044332952598e-09
118,1.18,1.2500044332952598e-09
119,1.19,1.2500044332952598e-09
120,1.2,1.2500045443175622e-09
121,1.21,1.2500044332952598e-09
122,1.22,1.2500044332952598e-09
123,1.23,1.2500044332952598e-09
124,1.24,1.2500044332952598e-09
125,1.25,1.2500045443175622e-09
126,1.26,1.2500044332952598e-09
127,1.27,1.2500044332952598e-09
128,1.28,1.2500044332952598e-09
129,1.29,1.2500045443175622e-09
130,1.3,1.2500044332952598e-09
131,1.31,1.2500044332952598e-09
132,1.32,1.2500044332952598e-09
133,1.33,1.2500043222729573e-09
134,1.34,1.2500045443175622e-09
135,1.35,1.2500044332952598e-09
136,1.36,1.2500044332952598e-09
137,1.37,1.2500044332952598e-09
138,1.38,1.2500045443175622e-09
139,1.39,1.2500045443175622e-09
140,1.4,1.2500043222729573e-09
141,1.41,1.2500045443175622e-09
142,1.42,1.2500045443175622e-09
143,1.43,1.2500044332952598e-09
144,1.44,1.2500043222729573e-09
145,1.45,1.2500043222729573e-09
146,1.46,1.2500044332952598e-09
147,1.47,1.2500044332952598e-09
148,1.48,1.2500044332952598e-09
149,1.49,1.2500044332952598e-09
150,1.5,1.2500044332952598e-09
151,1.51,1.2500044332952598e-09
152,1.52,1.2500045443175622e-09
153,1.53,1.2500043222729573e-09
154,1.54,1.2500044332952598e-09
155,1.55,1.2500044332952598e-09
156,1.56,1.2500044332952598e-09
157,1.57,1.2500043222729573e-09
158,1.58,1.2500044332952598e-09
159,1.59,1.2500044332952598e-09
160,1.6,1.2500045443175622e-09
161,1.61,1.2500045443175622e-09
162,1.62,1.2500044332952598e-09
163,1.63,1.2500045443175622e-09
164,1.64,1.2500044332952598e-09
165,1.65,1.2500044332952598e-09
166,1.66,1.2500044332952598e-09
167,1.67,1.2500043222729573e-09
168,1.68,1.2500044332952598e-09
169,1.69,1.2500044332952598e-09
170,1.7,1.2500043222729573e-09
171,1.71,1.2500045443175622e-09
172,1.72,1.2500044332952598e-09
173,1.73,1.2500044332952598e-09
174,1.74,1.2500044332952598e-09
175,1.75,1.2500044332952598e-09
176,1.76,1.2500044332952598e-09
177,1.77,1.2500044332952598e-09
178,1.78,1.2500044332952598e-09
179,1.79,1.2500045443175622e-09
180,1.8,1.2500044332952598e-09
181,1.81,1.2500044332952598e-09
182,1.82,1.2500044332952598e-09
183,1.83,1.2500043222729573e-09
184,1.84,1.2500044332952598e-09
185,1.85,1.2500044332952598e-09
186,1.86,1.2500044332952598e-09
187,1.87,1.2500044332952598e-09
188,1.88,1.2500044332952598e-09
189,1.89,1.2500045443175622e-09
190,1.9,1.2500044332952598e-09
191,1.91,1.2500044332952598e-09
192,1.92,1.2500045443175622e-09
193,1.93,1.2500043222729573e-09
194,1.94,1.2500044332952598e-09
195,1.95,1.2500043222729573e-09
196,1.96,1.2500044332952598e-09
197,1.97,1.2500044332952598e-09
198,1.98,1.2500044332952598e-09
199,1.99,1.2500045443175622e-09
200,2.0,1.2500044332952598e-09
201,2.01,1.2500045443175622e-09
202,2.02,1.2500045443175622e-09
203,2.03,1.2500044332952598e-09
204,2.04,1.2500045443175622e-09
205,2.05,1.2500045443175622e-09
206,2.06,1.2500044332952598e-09
207,2.07,1.2500045443175622e-09
208,2.08,1.2500044332952598e-09
209,2.09,1.2500044332952598e-09
210,2.1,1.2500044332952598e-09
211,2.11,1.2500043222729573e-09
212,2.12,1.2500044332952598e-09
213,2.13,1.2500045443175622e-09
214,2.14,1.2500044332952598e-09
215,2.15,1.2500045443175622e-09
216,2.16,1.2500043222729573e-09
217,2.17,1.2500044332952598e-09
218,2.18,1.2500044332952598e-09
219,2.19,1.2500044332952598e-09
220,2.2,1.2500044332952598e-09
221,2.21,1.2500044332952598e-09
222,2.22,1.2500045443175622e-09
223,2.23,1.2500044332952598e-09
224,2.24,1.2500044332952598e-09
225,2.25,1.2500043222729573e-09
226,2.26,1.2500045443175622e-09
227,2.27,1.2500044332952598e-09
228,2.28,1.2500044332952598e-09
229,2.29,1.2500044332952598e-09
230,2.3,1.2500044332952598e-09
231,2.31,1.2500044332952598e-09
232,2.32,1.2500044332952598e-09
233,2.33,1.2500044332952598e-09
234,2.34,1.2500044332952598e-09
235,2.35,1.2500044332952598e-09
236,2.36,1.2500045443175622e-09
237,2.37,1.2500043222729573e-09
238,2.38,1.2500045443175622e-09
239,2.39,1.2500043222729573e-09
240,2.4,1.2500044332952598e-09
241,2.41,1.2500044332952598e-09
242,2.42,1.2500044332952598e-09
243,2.43,1.2500045443175622e-09
244,2.44,1.2500044332952598e-09
245,2.45,1.2500044332952598e-09
246,2.46,1.2500044332952598e-09
247,2.47,1.2500045443175622e-09
248,2.48,1.2500044332952598e-09
249,2.49,1.2500044332952598e-09
250,2.5,1.2500044332952598e-09
251,2.51,1.2500044332952598e-09
252,2.52,1.2500044332952598e-09
253,2.53,1.2500044332952598e-09
254,2.54,1.2500044332952598e-09
255,2.55,1.2500044332952598e-09
256,2.56,1.2500044332952598e-09
257,2.57,1.2500045443175622e-09
258,2.58,1.2500044332952598e-09
259,2.59,1.2500044332952598e-09
260,2.6,1.2500044332952598e-09
261,2.61,1.2500044332952598e-09
262,2.62,1.2500044332952598e-09
263,2.63,1.2500044332952598e-09
264,2.64,1.2500044332952598e-09
265,2.65,1.2500044332952598e-09
266,2.66,1.2500045443175622e-09
267,2.67,1.2500044332952598e-09
268,2.68,1.2500044332952598e-09
269,2.69,1.2500044332952598e-09
270,2.7,1.2500044332952598e-09
271,2.71,1.2500044332952598e-09
272,2.72,1.2500045443175622e-09
273,2.73,1.2500045443175622e-09
274,2.74,1.2500045443175622e-09
275,2.75,1.2500044332952598e-09
276,2.76,1.2500045443175622e-09
277,2.77,1.2500044332952598e-09
278,2.78,1.2500044332952598e-09
279,2.79,1.2500044332952598e-09
280,2.8,1.2500044332952598e-09
281,2.81,1.2500044332952598e-09
282,2.82,1.2500044332952598e-09
283,2.83,1.2500044332952598e-09
284,2.84,1.2500044332952598e-09
285,2.85,1.2500044332952598e-09
286,2.86,1.2500044332952598e-09
287,2.87,1.2500044332952598e-09
288,2.88,1.2500045443175622e-09
289,2.89,1.2500045443175622e-09
290,2.9,1.2500045443175622e-09
291,2.91,1.2500044332952598e-09
292,2.92,1.2500045443175622e-09
293,2.93,1.2500045443175622e-09
294,2.94,1.2500044332952598e-09
295,2.95,1.2500045443175622e-09
296,2.96,1.2500045443175622e-09
297,2.97,1.2500045443175622e-09
