p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-85.27777,269.9305,-1094.7429,267.87335,-1942.3206,468.21228,-32.58808,956.6529
-80.27393,269.93756,-1089.7383,267.88153,-1937.3197,468.2148,-27.57934,956.6539
-75.270096,269.9446,-1084.7336,267.8897,-1932.3188,468.21735,-22.570599,956.65485
-70.26626,269.95166,-1079.729,267.8979,-1927.318,468.21988,-17.561857,956.6558
-65.26242,269.9587,-1074.7244,267.90607,-1922.3171,468.2224,-12.553116,956.6568
-60.258587,269.96576,-1069.7197,267.91425,-1917.3163,468.22495,-7.544375,956.6578
-55.254753,269.9728,-1064.7151,267.92242,-1912.3154,468.22748,-2.535634,956.65875
-50.25092,269.97986,-1059.7104,267.9306,-1907.3146,468.23,2.4731069,956.6597
-45.247086,269.9869,-1054.7058,267.93878,-1902.3137,468.23254,7.481848,956.6607
-40.24325,269.99396,-1049.7012,267.94696,-1897.3129,468.23508,12.490589,956.6617
-35.239418,270.001,-1044.6965,267.95514,-1892.312,468.2376,17.49933,956.66266
-30.235582,270.00806,-1039.6919,267.96332,-1887.3112,468.24014,22.508072,956.66364
-25.231747,270.0151,-1034.6873,267.9715,-1882.3103,468.24268,27.516813,956.6646
-20.227911,270.02216,-1029.6826,267.97968,-1877.3094,468.2452,32.525555,956.6656
-15.224075,270.0292,-1024.678,267.98785,-1872.3086,468.24774,37.534294,956.66656
-10.22024,270.03625,-1019.67334,267.99603,-1867.3077,468.25027,42.543034,956.66754
-5.2164044,270.0433,-1014.6687,268.0042,-1862.3069,468.2528,47.551773,956.6685
-0.21256924,270.05035,-1009.66406,268.0124,-1857.306,468.25534,52.560513,956.6695
4.791266,270.0574,-1004.6594,268.02057,-1852.3052,468.25787,57.569252,956.6705
9.795101,270.06445,-999.6548,268.02875,-1847.3043,468.2604,62.57799,956.67145
14.798937,270.0715,-994.65015,268.03693,-1842.3035,468.26294,67.58673,956.6724
19.802773,270.07855,-989.6455,268.0451,-1837.3026,468.26547,72.595474,956.6734
24.806608,270.0856,-984.64087,268.05328,-1832.3018,468.268,77.60422,956.6744
29.810444,270.09265,-979.6362,268.06146,-1827.3009,468.27054,82.61296,956.67535
34.814278,270.0997,-974.6316,268.06964,-1822.3,468.27307,87.621704,956.67633
39.81811,270.10675,-969.62695,268.07782,-1817.2992,468.2756,92.63045,956.6773
44.821945,270.1138,-964.6223,268.086,-1812.2983,468.27814,97.63919,956.6783
49.82578,270.12085,-959.6177,268.09418,-1807.2975,468.28067,102.647934,956.67926
54.829613,270.1279,-954.61304,268.10236,-1802.2966,468.2832,107.65668,956.68024
59.833447,270.13495,-949.6084,268.11053,-1797.2958,468.28574,112.66542,956.6812
64.83728,270.142,-944.60376,268.1187,-1792.2949,468.28827,117.674164,956.6822
69.84112,270.14905,-939.5991,268.1269,-1787.2941,468.2908,122.68291,956.68317
74.844955,270.1561,-934.5945,268.13507,-1782.2932,468.29333,127.69165,956.68414
79.84879,270.16315,-929.58984,268.14325,-1777.2924,468.29587,132.7004,956.6851
84.85263,270.1702,-924.5852,268.15143,-1772.2915,468.2984,137.70914,956.6861
89.85647,270.17725,-919.58057,268.1596,-1767.2906,468.30093,142.71788,956.6871
94.860306,270.1843,-914.5759,268.1678,-1762.2898,468.30347,147.72662,956.68805
99.86414,270.19135,-909.5713,268.17596,-1757.289,468.306,152.73537,956.689
104.86798,270.1984,-904.56665,268.18414,-1752.2881,468.30853,157.74411,956.69
109.87182,270.20544,-899.562,268.19232,-1747.2872,468.31107,162.75285,956.691
114.875656,270.2125,-894.5574,268.2005,-1742.2864,468.3136,167.7616,956.69196
119.87949,270.21954,-889.55273,268.20868,-1737.2855,468.31613,172.77034,956.69293
124.88333,270.2266,-884.5481,268.21686,-1732.2847,468.31866,177.77908,956.6939
129.88716,270.23364,-879.54346,268.22504,-1727.2838,468.3212,182.78783,956.6949
134.89099,270.2407,-874.5388,268.23322,-1722.283,468.32373,187.79657,956.69586
139.89482,270.24774,-869.5342,268.2414,-1717.2821,468.32626,192.80531,956.69684
144.89865,270.2548,-864.52954,268.24957,-1712.2812,468.3288,197.81406,956.6978
149.90248,270.26184,-859.5249,268.25775,-1707.2804,468.33133,202.8228,956.6988
154.90631,270.2689,-854.52026,268.26593,-1702.2795,468.33386,207.83154,956.69977
159.91014,270.27594,-849.5156,268.2741,-1697.2787,468.3364,212.84029,956.70074
164.91397,270.283,-844.511,268.2823,-1692.2778,468.33893,217.84903,956.7017
169.9178,270.29004,-839.50635,268.29047,-1687.277,468.34146,222.85777,956.7027
174.92163,270.2971,-834.5017,268.29865,-1682.2761,468.344,227.86652,956.7037
179.92546,270.30414,-829.4971,268.30682,-1677.2753,468.34653,232.87526,956.70465
184.92929,270.3112,-824.49243,268.315,-1672.2744,468.34906,237.884,956.7056
189.93312,270.31824,-819.4878,268.32318,-1667.2736,468.3516,242.89275,956.7066
194.93695,270.3253,-814.48315,268.33136,-1662.2727,468.35413,247.90149,956.7076
199.94078,270.33234,-809.4785,268.33954,-1657.2719,468.35666,252.91023,956.70856
204.94461,270.3394,-804.4739,268.34772,-1652.271,468.3592,257.91898,956.70953
209.94844,270.34644,-799.46924,268.3559,-1647.2701,468.36172,262.9277,956.7105
214.95227,270.3535,-794.4646,268.36407,-1642.2693,468.36426,267.93643,956.7115
219.9561,270.36053,-789.45996,268.37225,-1637.2684,468.3668,272.94516,956.71246
224.95993,270.36758,-784.4553,268.38043,-1632.2676,468.36932,277.9539,956.71344
229.96376,270.37463,-779.4507,268.3886,-1627.2667,468.37186,282.96262,956.7144
234.96759,270.38168,-774.44604,268.3968,-1622.2659,468.3744,287.97134,956.7154
239.97142,270.38873,-769.4414,268.40497,-1617.265,468.37692,292.98007,956.7164
244.97525,270.39578,-764.43677,268.41315,-1612.2642,468.37946,297.9888,956.71735
249.97908,270.40283,-759.4321,268.42133,-1607.2633,468.382,302.99753,956.7183
254.98291,270.40988,-754.4275,268.4295,-1602.2625,468.38452,308.00626,956.7193
259.98676,270.41693,-749.42285,268.43768,-1597.2616,468.38705,313.01498,956.7203
264.9906,270.42398,-744.4182,268.44586,-1592.2607,468.3896,318.0237,956.72125
269.99445,270.43103,-739.4136,268.45404,-1587.2599,468.39212,323.03244,956.7222
274.9983,270.43808,-734.40894,268.46222,-1582.259,468.39465,328.04117,956.7232
280.00214,270.44513,-729.4043,268.4704,-1577.2582,468.3972,333.0499,956.7242
285.00598,270.45218,-724.39966,268.47858,-1572.2573,468.39972,338.05862,956.72516
290.00983,270.45923,-719.395,268.48676,-1567.2565,468.40225,343.06735,956.72614
295.01367,270.46628,-714.3904,268.49493,-1562.2556,468.4048,348.07608,956.7271
300.01752,270.47333,-709.38574,268.5031,-1557.2548,468.40732,353.0848,956.7281
305.02136,270.48038,-704.3811,268.5113,-1552.2539,468.40985,358.09354,956.72906
310.0252,270.48743,-699.37646,268.51947,-1547.253,468.41238,363.10226,956.73004
315.02905,270.49448,-694.3718,268.52765,-1542.2522,468.41492,368.111,956.731
320.0329,270.50153,-689.3672,268.53583,-1537.2513,468.41745,373.11972,956.732
325.03674,270.50858,-684.36255,268.544,-1532.2505,468.41998,378.12845,956.733
330.0406,270.51562,-679.3579,268.5522,-1527.2496,468.42252,383.13718,956.73395
335.04443,270.52267,-674.3533,268.56036,-1522.2488,468.42505,388.1459,956.7349
340.04828,270.52972,-669.34863,268.56854,-1517.2479,468.42758,393.15463,956.7359
345.05212,270.53677,-664.344,268.57672,-1512.2471,468.4301,398.16336,956.7369
350.05597,270.54382,-659.33936,268.5849,-1507.2462,468.43265,403.1721,956.73785
355.0598,270.55087,-654.3347,268.59308,-1502.2454,468.43518,408.18082,956.73883
360.06366,270.55792,-649.3301,268.60126,-1497.2445,468.4377,413.18954,956.7398
365.0675,270.56497,-644.32544,268.60944,-1492.2437,468.44025,418.19827,956.7408
370.07135,270.57202,-639.3208,268.6176,-1487.2428,468.44278,423.207,956.74176
375.0752,270.57907,-634.31616,268.6258,-1482.242,468.4453,428.21573,956.74274
380.07904,270.58612,-629.3115,268.63397,-1477.2411,468.44785,433.22446,956.7437
385.0829,270.59317,-624.3069,268.64215,-1472.2402,468.45038,438.2332,956.7447
390.08673,270.60022,-619.30225,268.65033,-1467.2394,468.4529,443.2419,956.74567
395.09058,270.60727,-614.2976,268.6585,-1462.2385,468.45544,448.25064,956.74664
400.09442,270.61432,-609.29297,268.6667,-1457.2377,468.45798,453.25937,956.7476
405.09827,270.62137,-604.2883,268.67487,-1452.2368,468.4605,458.2681,956.7486
410.1021,270.62842,-599.2837,268.68304,-1447.236,468.46304,463.27682,956.7496
415.10596,270.63547,-594.27905,268.69122,-1442.2351,468.46558,468.28555,956.75055
420.1098,270.64252,-589.2744,268.6994,-1437.2343,468.4681,473.29428,956.7515
425.11365,270.64957,-584.2698,268.70758,-1432.2334,468.47064,478.303,956.7525
430.1175,270.65662,-579.26514,268.71576,-1427.2325,468.47318,483.31174,956.7535
435.12134,270.66367,-574.2605,268.72394,-1422.2317,468.4757,488.32047,956.75446
440.12518,270.67072,-569.25586,268.73212,-1417.2308,468.47824,493.3292,956.75543
445.12903,270.67776,-564.2512,268.7403,-1412.23,468.48077,498.33792,956.7564
450.13287,270.6848,-559.2466,268.74847,-1407.2291,468.4833,503.34665,956.7574
455.13672,270.69186,-554.24194,268.75665,-1402.2283,468.48584,508.35538,956.75836
